prec_county,P00003392,P60012234,P80001571
OAK 213063,694,16,41
OAK 313063,1696,28,67
OAK 413063,1639,28,59
OAK GROVE ELEM13089,1008,81,537
OAK GROVE13057,458,93,1624
OAK GROVE13113,266,55,661
OAK RIDGE13113,777,40,636
OAK VIEW ELEM13089,2575,27,43
OAKCLIFF ELEM13089,702,42,239
OAKLAND13151,1204,67,1424
OAKMAN13129,95,18,552
OCONEE13303,174,3,201
OLD COURTHOUSE13097,1618,83,1076
ONEAL13263,230,3,171
OOSTANAULA13129,80,8,315
P B RITCH MIDD SCH13223,1945,128,2531
PA0113121,1077,33,390
PANHANDLE 113063,1555,29,218
PANHANDLE 213063,1207,28,456
PANOLA ROAD13089,1162,13,24
PANOLA WAY ELEM13089,972,23,28
PANOLA13089,830,18,51
PANTHER CREEK13077,387,60,1360
PATES CREEK13151,1700,102,1530
PAULDING CO HIGH SC13223,999,119,2235
PENNVILLE13055,48,3,272
PG13313,693,84,2039
PINCKNEYVILLE A113135,719,93,1160
PINCKNEYVILLE A13135,992,58,239
PINCKNEYVILLE B13135,1125,67,365
PINCKNEYVILLE C13135,623,51,613
PINCKNEYVILLE D13135,729,39,190
PINCKNEYVILLE E13135,770,46,200
PINCKNEYVILLE F13135,698,28,295
PINCKNEYVILLE H13135,1342,114,1165
PINCKNEYVILLE I13135,988,37,310
PINCKNEYVILLE J13135,975,30,172
PINCKNEYVILLE K13135,1327,59,350
PINCKNEYVILLE L13135,622,107,1040
PINCKNEYVILLE M13135,650,75,1124
PINCKNEYVILLE N13135,1412,72,318
PINCKNEYVILLE O13135,1340,59,350
PINCKNEYVILLE P13135,673,61,592
PINCKNEYVILLE Q13135,762,30,128
PINCKNEYVILLE S13135,1007,72,586
PINCKNEYVILLE T13135,920,75,652
PINCKNEYVILLE U13135,711,68,462
PINCKNEYVILLE V13135,548,36,295
PINCKNEYVILLE W13135,1250,97,859
PINCKNEYVILLE X13135,1029,119,1016
PINCKNEYVILLE Y13135,1221,40,289
PINCKNEYVILLE Z13135,481,76,861
PINE CHAPEL13129,63,7,488
PINE LOG13015,131,37,1084
PINE MOUNTAIN VALLEY13145,119,19,599
PINE ROAD13077,172,28,1040
PINEHURST13093,103,5,248
PINEY GROVE13089,917,28,40
PLAINVILLE13129,131,28,872
PLEASANT GROVE13151,1045,54,1582
POPE13169,384,22,742
POPLAR SPRINGS13047,384,88,2123
POWERSVILLE13225,194,17,665
PRAYS MILL GYM13097,1155,96,2217
PRINCETON ELEM13089,1297,28,54
PROCTORS13207,168,17,439
PSALMOND/MATHEWS13215,1834,124,2505
PUCKETTS A13135,881,108,2146
PUCKETTS B13135,581,57,1282
PUCKETTS C13135,619,85,1183
PUCKETTS D13135,616,86,1372
PUCKETTS E13135,1333,92,1522
R M MOORE13057,227,61,1708
R T JONES13057,362,65,889
RAINBOW ELEM13089,2169,24,76
RALEIGH13199,66,3,266
RAREOVER13113,550,76,1387
RAYMOND13077,234,49,1219
RECR13153,3187,105,983
RED BUD13129,256,44,1283
RED OAK13151,2822,58,496
REDAN ELEM13089,1709,25,57
REDAN MIDDLE13089,1377,24,70
REDAN ROAD13089,1428,18,63
REDAN-TROTTI LIBRARY13089,2056,27,57
REDBONE13171,75,10,329
REDBONE13293,1035,71,3956
REFUGE13227,169,29,1259
REHOBOTH13089,981,79,434
RESACA13129,112,22,669
RIDDLEVILLE13303,135,7,285
RINGGOLD13047,883,163,3412
RISING STAR13113,643,123,1711
RIVERDALE 1013063,1150,12,44
RIVERDALE 1113063,990,8,60
RIVERDALE 113063,1241,19,107
RIVERDALE 1213063,1526,20,115
RIVERDALE 213063,1580,23,77
RIVERDALE 313063,1687,16,87
RIVERDALE 413063,1750,21,193
RIVERDALE 513063,1416,27,108
RIVERDALE 613063,1222,22,197
RIVERDALE 713063,901,11,134
RIVERDALE 813063,1474,18,162
RIVERDALE 913063,1231,22,147
RIVERSIDE13115,128,24,351
ROBERTS13169,473,33,995
ROCK CHAPEL ELEM13089,1510,21,73
ROCK CHAPEL ROAD13089,1996,38,168
ROCK SPRING13295,522,97,3137
ROCKBRIDGE A13135,1705,61,539
ROCKBRIDGE B13135,1631,64,620
ROCKBRIDGE C13135,2307,77,647
ROCKBRIDGE D13135,1570,51,653
ROCKBRIDGE E13135,1774,70,573
ROCKBRIDGE F13135,2650,69,713
ROCKBRIDGE G13135,2433,76,678
ROCKBRIDGE ROAD13089,2151,30,98
ROCKMART13233,772,63,2506
ROCKYCREEK A13135,1302,128,1934
ROCKYCREEK B13135,1148,148,1802
ROCKYCREEK C13135,1233,118,1782
ROSECREEK13057,586,125,1922
ROSEMONT13285,348,40,1958
ROSSVILLE13295,669,92,2320
ROTHSCHILD13215,3213,72,483
ROWLAND ELEM13089,1561,37,108
ROWLAND ROAD13089,1047,21,107
ROZR13153,2475,195,4961
RUSSELLVILLE13207,52,1,224
RUSSOM ELEM SCH13223,1781,225,4527
RUTLAND 113021,1315,57,2297
RUTLAND 213021,641,50,1378
RW0113121,1253,145,2034
RW0213121,1232,173,1450
RW0313121,1445,150,1189
RW0413121,599,86,674
RW0513121,710,72,424
RW0613121,936,104,921
RW07A13121,532,40,111
RW07B13121,170,11,63
RW0813121,527,78,960
RW0913121,1404,190,2761
RW1013121,935,123,1361
RW11A13121,830,105,819
RW1213121,1627,192,2555
RW1313121,1061,158,1286
RW1613121,560,54,747
RW1713121,972,110,660
RW1913121,569,76,858
RW2013121,869,92,1039
RW2113121,819,112,1327
RW22A13121,1401,143,940
SAGAMORE HILLS ELEM13089,1391,97,741
SALACOA13057,43,15,376
SALEM MIDDLE13089,2153,23,69
SALEM13293,240,4,32
SALVATION ARMY13215,820,59,924
SAMMY MCCLURE MID SC13223,1303,224,5443
SANDERS13169,30,3,86
SANDERSVILLE13303,2194,50,1738
SANDY RIDGE13151,493,83,2247
SARA RAGSDALE ELM SC13223,725,109,3038
SC01B13121,2710,27,86
SC0213121,625,9,20
SC0413121,395,11,222
SC05A13121,424,13,9
SC05B13121,2018,32,67
SC05D13121,1500,25,135
SC07A13121,3071,43,350
SC08B13121,1915,38,63
SC08C13121,56,1,0
SC08D13121,316,6,7
SC08E13121,274,6,1
SC08F13121,361,6,19
SC08G13121,2,0,0
SC09A13121,1752,25,81
SC09B13121,1038,19,33
SC1013121,784,14,27
SC11A13121,828,8,23
SC11B13121,930,12,24
SC1313121,1479,13,85
SC1413121,528,7,18
SC1513121,3905,64,168
SC1613121,2873,24,63
SC17A13121,35,0,0
SC17C13121,647,9,28
SC18A13121,305,5,11
SC18B13121,3184,39,101
SC19A13121,113,1,3
SC19B13121,696,1,23
SC21113121,744,8,30
SC21213121,1744,31,112
SC23A13121,2951,34,92
SC23B13121,294,1,8
SC2713121,1276,11,40
SC29A13121,1635,21,51
SC30A13121,91,2,2
SC30B13121,570,11,10
SCOTT13089,1315,78,303
SEMINOLE13055,5,5,77
SENOIA13077,716,126,2597
SEVENTH13143,151,23,837
SHADOW ROCK ELEM13089,2473,24,117
SHADY GROVE/TARVERS13289,304,6,245
SHAKERAG EAST13113,316,53,687
SHAKERAG WEST13113,271,43,622
SHAKERAG13151,2093,54,307
SHAMROCK13089,790,49,298
SHARPSBURG13077,520,127,2350
SHARPTOP13227,340,46,1434
SHAW-ROBERT SHAW ELEM13089,1711,95,248
SHILOH13151,1416,73,743
SHUCK PEN13213,257,38,1333
SIXES13057,428,79,1551
SKENIAH13111,50,3,165
SKINNER13145,207,18,361
SMOKEY ROAD13077,571,45,812
SNAPFINGER ELEM13089,1092,21,45
SONORAVILLE13129,388,93,2625
SOUTH DADE13083,94,15,445
SOUTH DESHON13089,1921,28,51
SOUTH HAIRSTON13089,1896,18,89
SOUTH HAMPTON13151,1395,107,1601
SOUTH ROME13115,497,27,156
SOUTHWEST13149,96,2,273
SOUTHWEST13213,214,44,1368
SPRING HILL13113,1029,63,1005
SPRING PLACE13213,326,50,1700
SS0113121,852,90,1278
SS02A13121,414,43,316
SS02B13121,539,43,197
SS0313121,492,61,430
SS0413121,1225,113,675
SS0513121,652,66,657
SS0613121,465,44,523
SS07A13121,265,29,361
SS07B13121,180,28,152
SS07C13121,246,18,234
SS08A13121,502,39,266
SS08B13121,210,18,210
SS08C13121,230,21,133
SS08D13121,431,36,280
SS09A13121,969,92,1122
SS09B13121,1122,97,1266
SS11A13121,1383,124,914
SS11B13121,489,42,224
SS11C13121,117,6,33
SS11D13121,103,15,130
SS1213121,896,110,837
SS13A13121,487,49,462
SS13B13121,303,24,237
SS1413121,390,54,578
SS15A13121,974,71,198
SS15B13121,608,38,308
SS1613121,655,75,834
SS1713121,1089,84,1169
SS18A13121,226,15,247
SS18B13121,78,7,98
SS19A13121,1251,77,447
SS19B13121,909,68,334
SS2013121,742,45,393
SS2213121,983,55,655
SS2513121,453,47,622
SS2613121,1478,92,332
SS29A13121,966,86,681
SS3113121,382,22,333
ST JOHN/BELVEDERE13215,2852,34,179
ST JULIANS EPISCOPAL13097,466,35,789
STAGECOACH13151,991,50,934
STARK13035,163,25,1657
STARRSMILL13113,525,76,1902
STEPHENSON HIGH13089,1877,34,118
STEPHENSON MIDDLE13089,2034,39,126
STEWART13097,1403,26,200
STOCKBRIDGE CENTRAL13151,1640,64,716
STOCKBRIDGE EAST13151,894,33,254
STOCKBRIDGE WEST13151,1995,47,351
STONE MILL ELEM13089,1249,15,87
STONE MOUNTAIN ELEM13089,1033,30,408
STONEVIEW ELEM13089,767,8,47
SUBLIGNA13055,30,5,295
SUGAR CREEK13111,222,34,1161
SUGAR HILL A13135,803,85,1247
SUGAR HILL B13135,1048,144,1653
SUGAR HILL C13135,986,133,1914
SUGAR HILL D13135,838,92,1412
SUGAR HILL E13135,671,101,1099
SUGAR HILL F13135,873,132,1381
SUGAR HILL G13135,610,96,1136
SUGAR VALLEY13129,84,20,738
SUMMERVILLE13055,759,67,2099
SUTALLEE13057,204,53,1305
SUWANEE A13135,437,46,468
SUWANEE B13135,1078,134,1350
SUWANEE C13135,1218,116,1509
SUWANEE D13135,948,126,1894
SUWANEE E13135,934,117,1601
SUWANEE F13135,1056,123,1172
SUWANEE G13135,985,109,1104
SUWANEE H13135,724,86,1633
SWAN LAKE13151,857,60,1274
TAILS CREEK13123,115,18,787
TALBOTTON13263,488,6,106
TALKING ROCK13227,104,19,933
TALLAPOOSA13143,258,52,1395
TAYLOR FARM PARK13223,2350,168,3532
TAYLORSVILLE13015,159,36,1482
TEASLEY13057,939,176,3464
TELOGA13055,40,10,320
TENNILLE13303,880,18,641
TEXAS VALLEY13115,61,13,464
TH13313,383,61,1748
THOMAS CROSSROADS13077,661,133,2678
TI13313,65,8,356
TIMBERRIDGE13151,311,26,981
TMS13153,1495,87,1292
TOCCOA13111,350,54,1565
TONEY ELEM13089,923,12,30
TOONIGH13057,913,206,2912
TOWALIGA13035,497,64,1816
TOWN CREEK13123,82,12,555
TOWN ROME13115,670,56,855
TOWN13213,543,70,2754
TOWN13293,1977,80,2653
TR13313,104,23,760
TRENTON13083,210,55,1348
TRION13055,306,36,1589
TUCKER LIBRARY13089,1121,83,546
TUCKER13089,1137,122,871
TURIN13077,498,89,2016
TURKEY CREEK13077,259,25,323
TURNER13097,1086,68,1061
TUSSAHAW13151,265,58,1842
TWENTIETH13143,40,12,389
TWPK13153,1060,106,1797
UC01A13121,1698,40,81
UC01B13121,204,5,3
UC01E13121,69,2,2
UC02A13121,3879,53,167
UC02B13121,10,0,6
UC03113121,1019,25,281
UC03213121,77,1,13
UNADILLA13093,521,11,501
UNION HILL13057,436,104,2062
UNIVETER13057,502,135,2654
UPPER 19TH13145,150,20,823
UT13313,67,13,501
VA13313,581,90,2520
VALLEY BROOK13089,471,37,149
VALLEY PLAINS13145,152,6,316
VALLEY13263,277,6,243
VANNS VALLEY13115,96,15,310
VFW13305,429,12,99
VHS13153,899,89,2402
VICTORIA13057,366,102,1441
VIENNA13093,840,12,829
VINEVILLE 113021,1233,95,581
VINEVILLE 213021,842,41,281
VINEVILLE 313021,1485,18,126
VINEVILLE 413021,1944,31,223
VINEVILLE 513021,557,60,912
VINEVILLE 613021,833,90,944
WACO13143,75,16,529
WALESKA13057,353,52,1260
WARREN TECH13089,524,31,260
WARRIOR 113021,554,32,1131
WARRIOR 213021,706,40,1333
WARTHEN13303,218,5,284
WATSON GOVT COMPLEX13223,1674,152,2997
WATTERS13115,262,66,1706
WAVERLY HALL13145,609,46,1112
WELCOME13077,379,62,1558
WESLEY CHAPEL LIBRARY13089,1885,22,51
WESLEY LAKES13151,2047,78,940
WEST BROW13083,131,53,538
WEST LINDALE13115,302,49,1239
WEST POINT13285,779,11,396
WESTSIDE13047,658,88,2334
WESTSIDE13077,317,14,149
WESTSIDE13151,2603,77,538
WHITE OAK13077,754,122,2170
WHITE OAK13089,1331,32,43
WHITE13015,204,49,1326
WHITESVILLE13145,228,19,680
WHITEWATER13113,616,88,1786
WILDCAT13057,387,107,1531
WILLOW POND13113,785,72,1051
WILLOWBEND13113,370,80,941
WINDGATE13113,225,39,468
WINSTON13097,555,22,503
WOODLANDS13057,819,132,1411
WOODRIDGE ELEM13089,1802,36,123
WOODROW ROAD13089,3155,34,145
WOODSTATION13047,271,57,1520
WOODSTOCK13057,1177,181,2138
WOOLSEY13113,313,53,1412
WORTHVILLE13035,144,22,1075
WS13313,312,57,1283
WYATT13159,229,17,812
WYNBROOKE ELEM13089,2079,33,128
WYNNBROOK13215,516,58,1402
YATESVILLE13293,223,12,651
YELLOW CREEK13227,365,36,1725
YOUNG ROAD13089,1145,17,35
YOUNGS GROVE13233,129,24,1004
YUKON13123,78,26,647
ZENA DRIVE13015,937,108,1873
