prec_county,P00003392,P60012234,P80001571
AIR ACRES13057,491,105,1285
ALLATOONA13015,433,75,1624
ALLGOOD ELEM13089,1584,26,172
ALPINE13055,93,17,451
ALTO PARK13115,442,68,1480
AN13313,471,32,540
ANNX13153,828,98,2077
ANTIOCH13113,423,62,854
AP01A13121,587,44,732
AP01B13121,247,30,203
AP01C13121,655,84,831
AP01D13121,293,29,222
AP02113121,879,118,1010
AP02213121,706,77,677
AP02B13121,109,7,122
AP0313121,298,12,96
AP04A13121,439,59,731
AP04B13121,137,16,165
AP0513121,1275,111,1793
AP0613121,485,82,735
AP07A13121,962,116,1091
AP07B13121,463,46,604
AP09A13121,1324,135,1366
AP09B13121,300,20,224
AP1013121,249,38,421
AP12A13121,257,15,141
AP12B13121,255,14,118
AP12C13121,353,33,472
AP1313121,838,55,915
AP1413121,942,128,1078
APPALACHIAN13227,167,33,970
ARAGON13233,262,34,1493
ARBOR STATION13097,975,46,616
ARMUCHEE VALLEY13295,124,16,667
ARMUCHEE13115,122,22,654
ARNOLD MILL13057,618,151,2184
ARTS CENTRE13077,2043,239,5098
AUSTIN DRIVE13089,1110,21,61
AUSTIN MIDDLE SCHOOL13223,1508,166,3768
AUSTIN ROAD13151,1301,41,784
AVERY13057,268,86,1661
AVONDALE HIGH - 0413089,954,32,167
AVONDALE HIGH - 0513089,850,32,93
BALL GROUND13057,279,79,1941
BANKS13113,491,39,599
BARKERS13115,185,40,1196
BARNESVILLE FBC13171,939,18,410
BARRON13169,254,14,626
BASCOMB13057,664,120,1899
BAYCREEK A13135,755,62,1011
BAYCREEK B13135,2069,72,1189
BAYCREEK C13135,2116,104,1562
BAYCREEK D13135,1262,80,1547
BAYCREEK E13135,871,57,898
BAYCREEK F13135,1574,65,989
BAYCREEK G13135,1634,86,1319
BAYCREEK H13135,1296,107,2090
BAYCREEK I13135,1797,97,1343
BAYCREEK J13135,1578,72,955
BAYCREEK K13135,1111,54,1158
BEAVERS DRIVE13015,613,84,2447
BELLS13057,1068,182,1853
BENTONS13207,322,59,1266
BEREA-STEADMAN13143,23,7,323
BERKSHIRE A13135,839,52,383
BERKSHIRE B13135,2100,102,709
BERKSHIRE D13135,837,81,930
